('asp-4', 'C35E7.11')
('Y50D4A.4', 'lis-1')
('moa-2', 'srsx-18')
('rpt-3', 'B0034.5')
('ipla-3', 'zyg-8')
('pinn-4', 'acs-3')
('fbxc-54', 'nhr-123')
('ZC13.1', 'sur-5')
('attf-6', 'srg-5')
('C24A1.3', 'got-2.2')
('T24F1.7', 'C16B8.3')
('C35A5.8', 'M195.2')
('F56D2.2', 'Y53F4B.36')
('mut-16', 'dnj-13')
('B0511.13', 'F11C1.7')
('set-10', 'ZK945.4')
('perm-3', 'pmp-1')
('usp-14', 'cal-7')
('Y39E4B.11', 'R08A2.5')
('pign-1', 'C40H5.2')
('F44B9.8', 'R09A8.5')
('pbs-3', 'drd-5')
('fbxc-39', 'K11H3.5')
('C50D2.10', 'sre-40')
('ddx-27', 'srv-3')
('C01G6.4', 'srab-18')
('F49D11.10', 'F20D6.5')
('T22C1.11', 'R04E5.8')
('nars-2', 'acc-3')
('acs-11', 'ZC449.1')
('Y105E8A.28', 'sre-3')
('Y48G10A.4', 'zipt-7.1')
('F25H9.6', 'sre-35')
('R11D1.10', 'ctg-2')
('C24H12.6', 'srz-23')
('efsc-1', 'srz-99')
('Y37B11A.3', 'T08B1.1')
('gls-1', 'sri-40')
('set-23', 'ZK418.11')
('F07F6.8', 'F13A7.12')
('C02B10.3', 'C13G5.2')
('F54A3.2', 'tsp-8')
('pcp-1', 'srg-21')
('swan-1', 'F54F7.6')
('R08B4.3', 'E04F6.4')
('Y37E11AM.3', 'W09D10.1')
('F26E4.4', 'T01B7.8')
('W02D7.5', 'glb-15')
('bcas-2', 'K03A11.5')
('M01E5.3', 'klp-11')
('C45B11.8', 'F14D7.8')
('Y104H12D.3', 'hum-4')
('srr-2', 'C13E3.1')
('C23H3.5', 'K02B12.9')
('his-2', 'C42D4.18')
('rabn-5', 'B0457.2')
('ztf-23', 'F52H3.5')
('pdp-1', 'F22F4.9')
('C53H9.2', 'M04B2.7')
('F17C11.7', 'sri-51')
('cls-2', 'mms-19')
('K01F9.2', 'F34H10.2')
('ZK112.6', 'acdh-11')
('thoc-5', 'wrt-1')
('Y75B8A.14', 'M04G7.3')
('C08F1.6', 'F42A9.6')
('cutl-6', 'srh-75')
('nud-1', 'rps-24')
('F16B4.7', 'C06A6.7')
('hil-6', 'ZK622.4')
('cil-1', 'Y58A7A.2')
('F07B7.8', 'sel-5')
('bath-43', 'T08G5.3')
('rcq-5', 'kcc-3')
('ZK1098.11', 'droe-4')
('mcm-6', 'R10D12.8')
('dnj-27', 'dpyd-1')
('egl-45', 'mxt-1')
('cgef-1', 'ace-3')
('R07E5.11', 'C30A5.16')
('ogdh-2', 'C32B5.15')
('F53F4.16', 'eef-1A.1')
('hap-1', 'nhr-95')
('vps-16', 'mocs-1')
('F23F1.10', 'C17E4.19')
('spk-1', 'pqn-74')
('mig-13', 'T10G3.2')
('T28H10.1', 'F59B10.3')
('W02F12.4', 'hxk-1')
('aap-1', 'col-48')
('smg-5', 'pdk-1')
('F13C5.2', 'avr-14')
('F35D2.2', 'R12E2.8')
('agef-1', 'R07E3.2')
('B0205.9', 'R05G6.10')
('sop-3', 'Y54F10AM.6')
('mspn-1', 'set-17')
('eif-3.I', 'Y51H7BR.8')
('Y105E8A.20', 'F48C1.3')
('rpoa-1', 'mlck-1')
('seld-1', 'col-113')
('nape-2', 'lon-8')
('cdc-6', 'F08G12.5')
('tgn-38', 'srh-268')
('C02B8.1', 'srg-56')
('rde-2', 'F28C6.5')
('hst-6', 'C50B8.5')
('bet-2', 'fip-2')
('drr-2', 'W04C9.6')
('nhr-28', 'pfn-3')
('tdpt-1', 'F46B6.2')
('aqp-6', 'ZK353.10')
('Y54F10BM.1', 'slcf-2')
('F58D5.2', 'prx-1')
('unc-70', 'F55D12.5')
('T19B4.5', 'nsf-1')
('W05H9.2', 'srj-11')
('fbxc-36', 'F26E4.2')
('vamp-7', 'acr-25')
('C06A6.2', 'ZC404.15')
('hpo-31', 'cyp-34A8')
('B0001.8', 'lsy-22')
('F46C8.1', 'math-1')
('Y61A9LA.3', 'irld-52')
('C24D10.5', 'gbb-1')
('F58B3.4', 'C42D4.1')
('rpl-11.1', 'mec-3')
('C29F9.12', 'F59A7.14')
('sel-13', 'Y102E9.5')
('F32E10.9', 'kvs-3')
('Y40D12A.1', 'lron-9')
('slc-36.2', 'Y47D3B.3')
('ets-6', 'unc-105')
('Y105E8A.14', 'F45F2.10')
('rpt-5', 'srx-117')
('Y116A8C.27', 'sra-6')
('cutl-2', 'W02H3.3')
('F08B6.1', 'col-168')
('smg-9', 'C27D6.1')
('trpp-11', 'F09C12.8')
('spo-11', 'nhr-178')
('F38A1.8', 'F54D1.1')
('Y50D7A.8', 'bus-19')
('ZC434.7', 'srh-116')
('K07C5.2', 'vpat-1')
('prp-4', 'gln-3')
('fbxb-78', 'fbxa-157')
('sel-1', 'eat-5')
('nduo-2', 'K07A1.10')
('pmt-2', 'T22B7.8')
('Y71G10AL.1', 'ZK632.9')
('C43E11.9', 'F32B5.7')
('F20C5.5', 'clc-1')
('npl-4.2', 'C56C10.4')
('col-99', 'T22F3.7')
('B0336.13', 'F14H8.8')
('Y48C3A.18', 'srz-102')
('F31C3.2', 'M01G12.6')
('T16G12.6', 'F32D8.7')
('F52B11.2', 'unc-89')
('F33D4.4', 'neto-1')
('F26D11.1', 'K08D8.6')
('C46C11.2', 'npa-1')
('gcsh-2', 'R03D7.4')
('C18B12.6', 'F57F4.4')
('memi-1', 'set-5')
('mys-4', 'glb-16')
('mig-22', 'Y37A1B.5')
('Y105C5B.20', 'ccch-2')
('eri-5', 'T10D4.15')
('R10D12.13', 'T04C12.11')
('F11C3.1', 'lnkn-1')
('C15H9.4', 'ptr-11')
('exos-9', 'ttr-46')
('ooc-5', 'Y38E10A.2')
('F54A3.5', 'osr-1')
('C47G2.3', 'grd-5')
('cra-1', 'T25D10.4')
('Y71F9AR.4', 'C32A9.1')
('ape-1', 'nol-10')
('Y27F2A.6', 'enol-1')
('F53F8.5', 'F55D12.2')
('F26F2.7', 'klc-1')
('C54F6.3', 'wdfy-3')
('B0464.9', 'B0228.1')
('acdh-7', 'Y92H12A.2')
('deg-1', 'F21C10.1')
('ntl-2', 'nhr-102')
('nra-2', 'marc-3')
('K07A1.17', 'fbxa-54')
('polh-1', 'nhr-18')
('mes-2', 'ZK899.1')
('Y13C8A.1', 'Y34D9A.8')
('B0336.7', 'mam-2')
('glrx-5', 'frpr-7')
('dlc-3', 'C18B2.5')
('B0334.5', 'Y82E9BL.18')
('H20J04.6', 'Y67D2.2')
('C47F8.1', 'dld-1')
('vps-28', 'rps-6')
('tag-123', 'xpa-1')
('C26E1.1', 'sptl-2')
('him-6', 'F57F5.1')
('mam-8', 'srg-50')
('try-5', 'rib-1')
('ins-13', 'F38B6.3')
('R03D7.8', 'dnj-24')
('nprl-3', 'nhr-12')
('W02A11.1', 'F35G2.5')
('F47G3.3', 'ZK470.2')
('K10C3.4', 'pas-3')
('slr-2', 'T01C8.3')
('algn-7', 'wrt-2')
('Y17G9B.5', 'srd-1')
('R08D7.2', 'ZK470.14')
('F57B10.8', 'K01A6.6')
('D1007.10', 'F23H12.5')
('Y75B7AL.2', 'Y55B1BL.1')
('tsen-34', 'F15E6.10')
('C01G12.16', 'srh-214')
('C23H3.3', 'Y32H12A.7')
('xbp-1', 'vps-2')
('Y18H1A.4', 'myo-6')
('pqn-54', 'W08E12.4')
('spe-44', 'lpr-7')
('mak-2', 'cyp-37B1')
('mes-6', 'lgc-30')
('Y71G12B.13', 'R13H4.6')
('C41H7.5', 'T10B5.10')
('prpf-4', 'irld-37')
('timm-17B.1', 'tni-3')
('T04A8.8', 'pqn-18')
('K08B4.2', 'Y47D7A.13')
('C09G9.1', 'srh-287')
('Y57A10A.27', 'B0272.4')
('mlh-1', 'cct-2')
('pro-2', 'C26F1.1')
('nuo-5', 'T05A8.8')
('C29E4.15', 'cdf-1')
('try-1', 'spv-1')
('M142.5', 'ZC449.2')
('cid-1', 'str-79')
('arp-11', 'F59C6.11')
('lsy-13', 'dpy-8')
('mlt-11', 'ZK863.1')
('F35H12.5', 'clec-241')
('K10D2.1', 'trp-4')
('T05A12.4', 'lev-8')
('F45C12.17', 'T10G3.4')
('rbd-1', 'sre-26')
('T19C3.3', 'F45E1.5')
('Y106G6D.7', 'Y55B1AL.2')
('nmt-1', 'pmp-4')
('gld-2', 'unc-15')
('dpy-21', 'E02A10.5')
('hprt-1', 'B0034.7')
('Y42H9B.3', 'tag-278')
('Y55B1BR.2', 'sulp-7')
('rpac-40', 'F38A5.8')
('npp-23', 'rpl-7A')
('Y50D4A.1', 'glb-20')
('pars-2', 'gst-29')
('T23G11.4', 'C44E12.1')
('memb-2', 'lips-7')
('pcrg-1', 'dpy-13')
('vps-39', 'spp-3')
('hphd-1', 'irld-21')
('F08F8.7', 'oac-40')
('C23H4.4', 'T06D8.3')
('C52B9.4', 'F09C3.2')
('dyrb-1', 'Y43F4A.4')
('W08E3.4', 'AH9.4')
('hum-7', 'sri-50')
('epg-6', 'F54E2.5')
('Y80D3A.9', 'K09D9.14')
('Y39A1A.14', 'T22E5.6')
('mes-3', 'srab-4')
('Y44F5A.1', 'Y73F4A.1')
('C31E10.6', 'R07B1.11')
('arid-1', 'cyp-33C9')
('C17G10.2', 'ZK938.3')
('F29A7.6', 'rpl-38')
('ima-3', 'col-104')
('Y48C3A.12', 'K06A9.1')
('dhc-1', 'F08G2.8')
('mrps-18B', 'Y73B6BL.31')
('K07F5.12', 'F57B1.5')
('K10B3.5', 'trt-1')
('C42C1.12', 'T15B12.1')
('alh-7', 'pdf-1')
('Y75B8A.23', 'Y54G11A.4')
('hpo-5', 'ttr-3')
('T14G8.3', 'pck-2')
('timm-23', 'fbxa-210')
('ZK686.1', 'ben-1')
('fbxc-18', 'Y45G5AM.9')
('sinh-1', 'D2023.1')
('efn-4', 'grl-14')
('M01G5.1', 'T20G5.12')
('C47E8.4', 'T06E4.8')
('T25B2.3', 'ZC15.10')
('hecd-1', 'C54G4.4')
('ZK1248.15', 'F26G1.2')
('C33F10.14', 'C02F4.4')
('rbc-2', 'nhr-91')
('F28B3.10', 'F40G9.9')
('F59D6.1', 'F54E4.4')
('F43C11.9', 'grd-10')
('C18A3.1', 'pccb-1')
('ell-1', 'C41G7.3')
('fbxb-87', 'unc-27')
('tag-30', 'Y34B4A.9')
('unc-37', 'flp-22')
('syx-16', 'emb-9')
('klc-2', 'C08F8.6')
('T07C4.12', 'nhr-98')
('clpp-1', 'W05F2.4')
('K07C5.13', 'T19C3.2')
('B0207.6', 'T07C12.15')
('pot-3', 'Y34B4A.10')
('pho-5', 'C49C3.21')
('C54E10.6', 'ZC334.13')
('mtk-1', 'F36D4.1')
('H06H21.11', 'hgo-1')
('C43H6.3', 'npr-3')
('Y55F3BL.4', 'lst-6')
('F36D3.1', 'F09B12.3')
('ubc-19', 'sgn-1')
('M04B2.2', 'ceh-24')
('Y53G8AR.9', 'srz-101')
('T10E9.14', 'C25F9.10')
('C52B9.8', 'M05D6.6')
('snu-23', 'klp-20')
('snap-29', 'calu-2')
('Y116A8B.1', 'Y59C2A.1')
('F58D5.5', 'cnx-1')
('F17H10.1', 'ntr-2')
('F08G2.5', 'cdh-5')
('psr-1', 'F58E2.5')
('pat-4', 'nhr-62')
('K08B12.3', 'Y50C1A.2')
('C44H4.4', 'nhr-40')
('mrps-35', 'sdz-2')
('hpo-29', 'daf-14')
('F37C4.4', 'glb-26')
('hsb-1', 'F48C1.6')
('pmp-2', 'twk-39')
('dnj-4', 'T05E7.4')
('cku-80', 'F44A6.3')
('exl-1', 'unc-95')
('fbxa-128', 'R04B5.6')
('smut-1', 'rpl-41.2')
('K02D7.1', 'lact-2')
('tftc-1', 'C37A2.7')
('syf-2', 'F32B5.6')
('snx-6', 'lin-14')
('sre-54', 'ZK813.4')
('F41E6.12', 'R07A4.4')
('C35D10.10', 'acbp-1')
('F46B6.4', 'C23H4.2')
('Y38C1AA.12', 'bre-4')
('Y75B8A.7', 'emre-1')
('Y54E10A.10', 'idhg-1')
('clh-6', 'lys-8')
('T20D3.6', 'stn-2')
('ttr-54', 'grl-10')
('R02F2.5', 'mab-7')
('larp-5', 'K01A2.5')
('F19C6.4', 'Y18H1A.9')
('C47E12.7', 'T11F9.7')
('alfa-1', 'T11A5.6')
('rsd-2', 'twk-49')
('irx-1', 'C11E4.6')
('daf-31', 'H08J19.1')
('F07E5.5', 'sre-37')
('lin-38', 'php-3')
('skih-2', 'ocr-3')
('iars-1', 'srw-33')
('sqv-8', 'dhs-28')
('stip-1', 'M03B6.5')
('gon-1', 'nhr-163')
('T06A10.3', 'C26B9.3')
('sec-8', 'F09E8.8')
('C17H12.8', 'K05D4.9')
('D2023.4', 'F36A2.3')
('F56B3.2', 'F09C6.16')
('C08B6.8', 'srj-26')
('hpo-3', 'spp-1')
('bath-44', 'trcs-1')
('F54D7.2', 'srsx-16')
('cept-2', 'W01A8.6')
('cyn-4', 'sru-1')
('san-1', 'F55C10.5')
('mrps-17', 'erl-1')
('T23F6.3', 'trpp-8')
('C14A11.9', 'fbxb-53')
('Y56A3A.2', 'ram-5')
('F44E2.3', 'sre-32')
('F27C1.2', 'cpr-1')
('F58H1.8', 'snx-17')
('F56A8.9', 'H05C05.4')
('taf-8', 'F58G6.9')
('fbxa-11', 'hpo-30')
('ZK265.6', 'F25E5.9')
('mtq-2', 'srv-2')
('Y67D8A.2', 'Y47D9A.3')
('T05A12.3', 'F30A10.4')
('F55F8.3', 'T13C5.9')
('R06F6.12', 'srh-15')
('F33E11.3', 'Y57G11C.52')
('cwc-15', 'srz-19')
('C08H9.16', 'irld-15')
('Y75B8A.31', 'nhr-170')
('fkb-2', 'C14E2.1')
('ZK262.9', 'rpm-1')
('dhs-1', 'srx-86')
('fbxb-26', 'aqp-5')
('zim-1', 'nhr-126')
('fbxb-99', 'lmp-2')
('syp-3', 'F32A5.4')
('lpd-7', 'cnc-3')
('emc-5', 'swt-1')
('F33H1.3', 'C35B8.3')
('T22F3.2', 'T25B6.4')
('blos-2', 'K11H12.7')
('Y45F3A.9', 'F44A6.5')
('Y59C2A.3', 'T22F7.4')
('Y53G8AL.2', 'B0024.13')
('W03G11.4', 'ldh-1')
('ifg-1', 'F43E2.6')
('ztf-4', 'T02E1.8')
('his-6', 'rbc-1')
('cit-1.1', 'Y54G2A.44')
('Y56A3A.22', 'F28H1.4')
('C34B7.2', 'srh-148')
('cpsf-4', 'F53C11.4')
('spp-15', 'tag-18')
('F33G12.2', 'C48B4.7')
('pro-3', 'nmat-1')
('pnn-1', 'C17C3.11')
('prp-17', 'cnnm-1')
('M176.11', 'CC8.3')
('him-17', 'str-243')
('Y53F4B.39', 'srz-3')
('sptl-1', 'T25G3.4')
('Y7A5A.6', 'Y11D7A.5')
('C02F12.8', 'deb-1')
('W06E11.1', 'T24F1.4')
('nasp-2', 'F26G1.10')
('E02H1.1', 'F09A5.3')
('gap-2', 'F40H3.3')
('C11H1.3', 'clec-230')
('ugt-25', 'Y51H4A.7')
('F25H9.7', 'npr-25')
('zfp-3', 'sprr-1')
('athp-1', 'F35H10.2')
('hex-4', 'T19H12.3')
('R11A5.3', 'T04F8.3')
('szy-20', 'K10D3.4')
('pisy-1', 'C46H11.7')
('Y49F6B.8', 'nhr-177')
('cox-17', 'K02F6.8')
('Y55D9A.2', 'eef-1B.1')
('arf-1.2', 'str-155')
('ppfr-2', 'C49F8.3')
('B0035.21', 'lgc-41')
('Y32B12B.4', 'srx-12')
('cyn-12', 'rps-13')
('uev-3', 'F32E10.8')
('W03D8.3', 'D1054.1')
('lin-66', 'T07F12.4')
('tag-280', 'set-18')
('dao-5', 'Y65B4BL.1')
('tsg-101', 'C09E8.1')
('F54D12.10', 'R06C7.2')
('F44E2.8', 'vab-23')
('twk-7', 'sre-27')
('R05D3.12', 'cct-6')
('W09H1.4', 'ZK105.8')
('gspd-1', 'lpr-4')
('B0273.115', 'Y46G5A.15')
('clec-87', 'H01G02.1')
('snpc-1.2', 'F21D5.4')
('T05E12.8', 'H18N23.2')
('glh-1', 'gon-2')
('ham-3', 'paqr-2')
('R11H6.5', 'C45E1.4')
('T19B4.3', 'rei-2')
('arx-3', 'seb-3')
('tln-1', 'spsb-1')
('eri-1', 'C15H9.2')
('phf-30', 'nlp-18')
('Y55F3AM.9', 'T21C9.13')
('moma-1', 'tnt-3')
('agl-1', 'clh-1')
('dyci-1', 'W08F4.3')
('W04A8.6', 'sdhd-1')
('glrx-10', 'F37A4.3')
('atp-3', 'W02F12.8')
('Y48E1C.4', 'C23H5.8')
('adr-1', 'ifa-1')
('cln-3.2', 'ceh-2')
('B0035.3', 'F13C5.5')
('acaa-2', 'scpl-3')
('col-63', 'rpl-35')
('ZK20.4', 'C46G7.1')
('tag-296', 'rps-3')
('ego-1', 'C39H7.4')
('ile-2', 'Y45F10D.15')
('wve-1', 'C39D10.11')
('ZK688.11', 'abu-13')
('F39F10.3', 'tsp-21')
('exoc-7', 'B0035.6')
('nhr-232', 'C04E6.8')
('K05C4.5', 'clp-7')
('cgp-1', 'zgpa-1')
('Y37H9A.1', 'dct-16')
('Y105C5B.19', 'R12C12.10')
('K02E2.11', 'str-182')
('magi-1', 'pals-18')
('egrh-3', 'R11F4.3')
('rrbs-1', 'T10H9.8')
('Y52B11A.19', 'fipr-4')
('vti-1', 'flp-11')
('C56A3.5', 'ZC123.1')
('B0205.6', 'bgal-1')
('arp-1', 'R03C1.1')
('M02B7.7', 'F35B12.10')
('gly-3', 'eak-3')
('viln-1', 'Y54G2A.41')
('blos-7', 'srz-78')
('C50D2.8', 'slc-25A32')
('Y66D12A.19', 'T08G5.1')
('F20D12.2', 'JC8.16')
('M01E11.1', 'nlp-38')
('nck-1', 'tomm-20')
('R01B10.4', 'K07G5.5')
('toe-4', 'irk-1')
('mnat-1', 'F59A6.2')
('nfi-1', 'gcy-27')
('C45B11.6', 'W02D7.3')
('ZK1098.1', 'irld-47')
('tag-124', 'F55A11.7')
('his-16', 'T21G5.2')
('C26F1.3', 'Y97E10AR.2')
('T09A5.5', 'dpf-1')
('T27A1.3', 'ech-9')
('otub-3', 'etr-1')
('W02D3.12', 'srw-10')
('rbg-1', 'srsx-36')
('K05F6.12', 'hsp-16.49')
('tag-267', 'Y26G10.4')
('sptf-3', 'C17H11.1')
('F56C11.5', 'Y44A6D.3')
('C18E3.9', 'apa-2')
('zwl-1', 'M04C3.1')
('cep-1', 'T09B9.5')
('C43G2.3', 'F41G3.3')
('H27M09.5', 'npr-24')
('etc-1', 'K06G5.3')
('his-18', 'slc-17.7')
('abcf-1', 'F15E6.6')
('Y45F3A.4', 'fkh-8')
('mrpl-55', 'R07E4.1')
('npp-7', 'skr-8')
('atgp-2', 'fbxa-10')
('npr-32', 'scrm-1')
('nfya-1', 'C39B10.5')
('zeel-1', 'irld-36')
('orc-2', 'F13H10.5')
('ZK616.5', 'nhr-54')
('sex-1', 'F02C12.1')
('ZK1127.5', 'unc-6')
('F55B12.10', 'str-198')
('phf-33', 'K09E9.4')
('rlbp-1', 'pcp-3')
('fbxa-51', 'swt-7')
('mrps-6', 'fmo-1')
('sdz-5', 'C30E1.8')
('T19B10.8', 'F56F11.2')
('nmy-1', 'calm-1')
('C27H6.8', 'grk-1')
('dad-1', 'C01F6.2')
('lact-9', 'srn-1')
('pch-2', 'rps-1')
('akir-1', 'Y51H7BR.4')
('T28A8.4', 'sodh-1')
('F40H3.6', 'T24C4.5')
('B0511.7', 'F21A9.2')
('tct-1', 'Y116A8C.3')
('blos-8', 'Y57G11C.20')
('F57C9.4', 'cutl-13')
('oxy-4', 'T28F2.1')
('rev-1', 'srx-45')
('F43B10.1', 'prmn-1')
('C17G10.1', 'suro-1')
('R06C7.6', 'C35A11.2')
('larp-1', 'sre-33')
('dpf-5', 'ptc-1')
('rec-1', 'F54B11.11')
('ceh-44', 'C05C12.4')
('elt-7', 'R07G3.8')
('ZK858.5', 'Y38H6C.13')
('src-1', 'ugt-45')
('png-1', 'M02G9.1')
('Y51F10.3', 'C31B8.7')
('W03C9.6', 'M02E1.1')
('inx-7', 'cebp-1')
('F44F1.6', 'fahd-1')
('dnj-20', 'nhr-34')
('spr-3', 'C48E7.1')
('drh-3', 'ceh-89')
('Y48G1C.9', 'abu-12')
('F21C10.10', 'tnt-4')
('maoc-1', 'srt-67')
('acsd-1', 'ZK688.1')
('F28C6.8', 'Y95B8A.2')
('Y79H2A.3', 'H34I24.2')
('hmg-20', 'dyf-11')
('stam-1', 'nlp-51')
('nuo-1', 'F56D2.5')
('C06G4.1', 'C33A12.3')
('Y61A9LA.11', 'C45B2.6')
('duo-3', 'tag-275')
('C02F5.10', 'unc-122')
('fat-3', 'ZK637.2')
('ngn-1', 'F46G10.2')
('duo-1', 'srh-178')
('ZK1240.2', 'F40F9.10')
('K04C2.2', 'srbc-61')
('Y5F2A.4', 'Y42A5A.1')
('ndx-7', 'srh-199')
('rpb-7', 'C47D2.1')
('C14F11.7', 'F53A10.2')
('F26A1.14', 'F08F8.6')
('set-9', 'F12A10.1')
('Y37B11A.2', 'glb-8')
('Y41C4A.9', 'Y54G2A.52')
('col-150', 'hyl-1')
('fbxb-63', 'K01B6.4')
('atg-3', 'Y46H3A.4')
('cdk-9', 'F26A1.9')
('ntl-11', 'tps-1')
('lgg-1', 'col-114')
('F23H12.10', 'egrh-1')
('C05D11.9', 'dyn-1')
('lir-1', 'gpx-7')
('K03H1.11', 'rin-1')
('ubxn-4', 'F38A6.4')
('F25H8.1', 'F18C5.9')
('dhhc-1', 'ZC239.20')
('glo-4', 'ubc-22')
('C31H1.8', 'R07E3.6')
('act-3', 'dapk-1')
('D1069.3', 'F49D11.6')
('emc-6', 'Y65B4A.2')
('hum-2', 'spp-18')
('T20F7.1', 'zip-10')
('set-4', 'C10G8.8')
('Y37D8A.25', 'F10D11.6')
('F10E7.6', 'Y55B1AR.2')
('W09G3.6', 'ptc-3')
('his-47', 'F35E12.9')
('F13H8.2', 'K08C9.5')
('vps-50', 'hpo-38')
('Y43F4B.7', 'Y48G9A.9')
('erm-1', 'nhr-120')
('ceh-60', 'C01G8.1')
('mars-1', 'enu-3.5')
('T01B7.5', 'nlp-29')
('dhps-1', 'kel-8')
('F54F2.9', 'F13D11.4')
('Y57E12AL.6', 'F15B9.8')
('dnj-23', 'col-130')
('ncl-1', 'Y71H2B.4')
('fard-1', 'Y49G5B.1')
('cpsf-1', 'srb-19')
('W07G4.3', 'bgnt-1.3')
('zhit-2', 'col-71')
('T07E3.4', 'tofu-1')
('cdc-7', 'aptf-1')
('sql-1', 'abt-2')
('tbx-7', 'ZC204.12')
('Y44E3A.4', 'fkb-3')
('col-50', 'Y41C4A.22')
('nstp-5', 'H14E04.3')
('F13D12.3', 'F30H5.3')
('W05H12.2', 'acs-5')
('C49A9.10', 'Y55B1AL.1')
('ZC376.6', 'C18E9.7')
('F19C7.3', 'F46H5.2')
('Y48G10A.2', 'hog-1')
('C16C10.2', 'T07D10.1')
('Y71H2B.5', 'M05D6.5')
('col-2', 'Y57G11B.6')
('Y54E2A.9', 'T09B4.4')
('T04A8.6', 'flr-4')
('taf-7.2', 'C09B7.2')
('F26E4.6', 'gst-27')
('Y34B4A.7', 'F13H8.5')
('E02C12.12', 'T12D8.5')
('sptl-3', 'slc-17.5')
('ZK563.7', 'hpo-36')
('M01E11.2', 'F27E5.5')
('T26C5.3', 'C09G5.13')
('F10G8.9', 'T02D1.8')
('ubh-3', 'pals-24')
('C44H9.7', 'C49H3.12')
('plc-4', 'F59E11.2')
('sec-15', 'T05B4.8')
('T11G6.2', 'C30E1.2')
('tbc-14', 'str-125')
('ZK546.4', 'C04A11.1')
('ZK856.4', 'glr-4')
('T16A9.3', 'C34E7.3')
('F54D8.6', 'Y6B3B.1')
('F46B6.12', 'srw-61')
('F13B12.6', 'Y52E8A.3')
('R148.5', 'F47G3.4')
('dpff-1', 'dmsr-11')
('ugt-1', 'flp-3')
('T26G10.1', 'sru-6')
('tre-2', 'ZK697.1')
('sec-16', 'egl-15')
('T22G5.3', 'abhd-11.1')
('arc-1', 'rpl-18')
('D1014.4', 'unc-63')
('lin-7', 'srw-71')
('mev-1', 'Y73B6A.1')
('F46B6.5', 'lgc-44')
('K01G5.9', 'sri-24')
('hex-3', 'T26H8.5')
('Y6B3B.9', 'C54C6.4')
('usp-50', 'rack-1')
('Y43F8C.6', 'C10E2.4')
('col-156', 'F40A3.7')
('C27A12.9', 'R08F11.1')
('cct-3', 'B0024.3')
('spt-16', 'fbxa-37')
('taf-6.2', 'Y37F4.1')
('svh-4', 'B0281.6')
('ndfl-4', 'fbxa-222')
('T16H12.3', 'F54B3.2')
('nrde-3', 'M01H9.2')
('M04F3.3', 'F27C1.4')
('ssp-36', 'srw-91')
('tdp-1', 'W08E12.3')
('fbxb-98', 'agxt-1')
('vps-53', 'malt-1')
('tgt-2', 'srh-27')
('C55A6.1', 'M05B5.3')
('Y54E10A.6', 'cec-2')
('ubr-4', 'sri-65')
('dod-18', 'F13A7.11')
('gyg-2', 'C43F9.7')
('col-124', 'srh-40')
('enu-3.2', 'sri-43')
('ztf-13', 'sta-2')
('nsy-1', 'C16C4.1')
('ZK112.5', 'D1086.8')
('inx-14', 'ZK1010.8')
('R12B2.6', 'F13D11.3')
('ZK809.3', 'T01C1.4')
('Y40A1A.3', 'srsx-37')
('F22G12.5', 'B0478.3')
('ippk-1', 'nekl-3')
('Y20F4.8', 'scav-5')
('fars-1', 'F47G9.4')
('otub-4', 'Y97E10B.1')
('tbc-10', 'Y51B9A.6')
('C29E4.11', 'frpr-6')
('F20D12.12', 'obr-4')
('pnk-1', 'glb-3')
('nst-1', 'F33D11.8')
('M106.3', 'srz-25')
('glp-4', 'ZK688.5')
('acly-1', 'F13H10.1')
('F55H2.7', 'tin-44')
('C34E7.4', 'srh-271')
('F37D6.3', 'vab-19')
('let-4', 'irg-7')
('Y48B6A.1', 'sel-8')
('ndx-3', 'ent-3')
('attf-4', 'clec-5')
('F45H10.2', 'C28H8.2')
('T08G11.4', 'srh-218')
('alg-5', 'xnd-1')
('Y39A1A.16', 'F42A9.9')
('F17A9.4', 'H09F14.1')
('Y53F4B.10', 'dmd-7')
('acl-9', 'rps-18')
('C32B5.7', 'C17E4.1')
('K02F3.2', 'srh-4')
('C09E7.4', 'Y82E9BL.3')
('C34C12.12', 'bath-5')
('Y41D4A.6', 'K02H11.4')
('dnj-2', 'C25E10.13')
('C09G1.4', 'Y42G9A.3')
('Y87G2A.25', 'R12G8.1')
('utp-20', 'ZC308.4')
('ptr-22', 'del-4')
('T24B8.7', 'F28H7.3')
('Y39F10C.1', 'cyp-33C11')
('F08H9.3', 'hxk-2')
('let-716', 'F48C5.2')
('M70.5', 'W10C4.1')
('R11E3.2', 'unc-54')
('fecl-1', 'F49E12.12')
('M01F1.8', 'F56H9.8')
('let-391', 'Y26E6A.3')
('crn-6', 'nhr-239')
('Y56A3A.16', 'K11H12.11')
('Y57A10A.13', 'lron-4')
('R01H10.7', 'F59B1.4')
('ZK632.5', 'ptr-20')
('T05A7.6', 'catp-7')
('ZK795.3', 'lgx-1')
('Y32H12A.6', 'jmjd-3.2')
('Y18D10A.2', 'F15A4.6')
('F10E7.1', 'F58B4.5')
('F52C12.1', 'trpl-2')
('T16A1.2', 'C55A6.7')
('bus-12', 'nlp-5')
('F55A12.5', 'nas-39')
('copz-1', 'F41E6.8')
('pqn-68', 'F12F6.1')
('btb-19', 'F07A11.5')
('acl-11', 'unc-93')
('Y37E11AL.2', 'coh-3')
('mrpl-47', 'F49E10.2')
('fzo-1', 'igeg-1')
('smg-8', 'romo-1')
('F53H2.3', 'pqn-35')
